EMD_CD,EMD_NM,PRED_SEVERITY,RISK_LEVEL,AVG_RN1,TOTAL_RN1,AVG_WATL,AVG_ELEVATION,DONG_AREA_KM2
11140114,태평로2가,0.0,안전,0.0,0.0,0.0,31.8138322,0.0820873026576757
11140150,을지로4가,0.0,안전,0.0,0.0,0.0,23.900995857142856,0.0704345472814621
11140139,필동3가,0.0,안전,0.0,0.0,0.0,41.61547541666666,0.093518289242325
11140138,필동2가,0.0,안전,0.0,0.0,0.0,49.25462113043478,0.1851388126668266
11140141,주자동,0.0,안전,0.0,0.0,0.0,42.4256365,0.0227695382302948
11140151,을지로5가,0.0,안전,0.0,0.0,0.0,22.501702857142856,0.0784684453425277
11170103,용산동4가,0.0,안전,0.0,0.0,0.0,36.56616447727273,0.7934763663915246
11170132,동빙고동,0.0,안전,0.0,0.0,0.0,26.18548217333333,0.4042619130772583
11170120,도원동,0.0,안전,0.0,0.0,0.0,45.959655454545455,0.0885572458144388
11170135,용산동6가,0.0,안전,0.0,0.0,0.0,13.730014808928573,1.438090246110861
11170126,용산동3가,0.0,안전,0.0,0.0,0.0,26.377724256410257,0.3352638222022187
11170121,용문동,0.0,안전,0.0,0.0,0.0,18.167537285714285,0.1913652740444751
11170116,청암동,0.0,안전,0.0,0.0,0.0,24.35114884444444,0.0714363799416088
11170117,원효로3가,0.0,안전,0.0,0.0,0.0,16.85962992105263,0.159259452734962
11170119,효창동,0.0,안전,0.0,0.0,0.0,40.917143836734695,0.443192321983129
11170107,동자동,0.0,안전,0.0,0.0,0.0,29.2191595,0.2882862230179299
11170131,한남동,0.0,안전,0.0,0.0,0.0,60.79853704126074,3.026493575891407
11170118,원효로4가,0.0,안전,0.0,0.0,0.0,13.833298128125,0.3109844716731213
11170129,이촌동,0.0,안전,0.0,0.0,0.0,7.5278541533190575,4.07803395354752
11170101,후암동,0.0,안전,0.0,0.0,0.0,78.48491064646464,0.8662608180180489
11170125,한강로2가,0.0,안전,0.0,0.0,0.0,12.18164443877551,0.447328729467369
11170104,갈월동,0.0,안전,0.0,0.0,0.0,23.44584073076923,0.2233595590852821
11170102,용산동2가,0.0,안전,0.0,0.0,0.0,76.71021138059702,1.172070201105018
11170123,신계동,0.0,안전,0.0,0.0,0.0,15.29927088235294,0.1440269413984917
11170113,원효로2가,0.0,안전,0.0,0.0,0.0,14.2948348,0.1308826593175399
11170127,용산동5가,0.0,안전,0.0,0.0,0.0,17.20865113125,0.691574739122661
