F_SHIM,F_AREA,F_ZONE_NM,F_YR,FLOOD_SCALE,FLOOD_DEPTH_PER_AREA,FLOOD_RISK
0.1,211.00351249,서울특별시 은평구 불광동 244-93 지하 좌측,2025,21.100351249,0.0004739257599076189,낮음
0.1,158.13025192,서울특별시 은평구 응암동 584-51 B02호,2025,15.813025192000001,0.0006323900631650876,낮음
0.1,169.50254608,서울특별시 은평구 불광동 243-14 지층 102호,2025,16.950254608,0.0005899616395897857,낮음
0.1,196.0475908,서울특별시 은평구 불광동 243-16 1층,2025,19.60475908,0.0005100802289481642,낮음
0.1,171.39851669,서울특별시 은평구 불광동 238-63 지층 2호,2025,17.139851669000002,0.0005834356208628401,낮음
0.1,167.40811805,서울특별시 은평구 불광동 243-13 B02호,2025,16.740811805000003,0.0005973425970306462,낮음
0.1,133.45886844,서울특별시 은평구 불광동 238-80 지층 1호,2025,13.345886844,0.000749294529235108,낮음
0.1,823.52868498,서울특별시 은평구 녹번동 158-47 A동 101호,2025,82.352868498,0.00012142867859232928,낮음
0.1,121.02038762,서울특별시 은평구 불광동 281-70 지하 102호,2025,12.102038762,0.0008263070542625982,낮음
0.1,167.3618863,서울특별시 은평구 불광동 606-7 지층 02호,2025,16.73618863,0.0005975076058879243,낮음
0.5,211.09223763,서울특별시 서대문구 북가좌동 312-2 예원빌라 b01호,2025,105.546118815,0.0023686328100628417,낮음
0.5,113.29592929,서울특별시 서대문구 북가좌동 316-18 B101,2025,56.647964645,0.004413221226335201,낮음
0.5,198.05077525,서울특별시 서대문구 북가좌동 343-20  빌라 B102호,2025,99.025387625,0.002524605113859558,낮음
0.5,120.25860619,서울특별시 서대문구 북가좌동 331-25 ㅇㅇ빌라 지하호,2025,60.129303095,0.004157706594487181,낮음
0.5,122.15371345,서울특별시 서대문구 북가좌동 316-1 B02호,2025,61.076856725,0.004093203439162414,낮음
0.5,115.67006893,서울특별시 서대문구 북가좌동 337-20  빌라  지하호,2025,57.835034465,0.004322639422844857,낮음
0.5,198.71063677,서울특별시 서대문구 북가좌동 339-42  빌라 지하호,2025,99.355318385,0.002516221618164965,낮음
0.5,160.376371,서울특별시 서대문구 북가좌동 339-24 반석빌라 지하동 우측호,2025,80.1881855,0.0031176662552116234,낮음
0.5,165.21274621,서울특별시 서대문구 북가좌동 340-9 동화빌라 지하호,2025,82.606373105,0.003026400876869729,낮음
0.5,197.44057705,서울특별시 서대문구 북가좌동 336-47 건영그린빌라 지층호,2025,98.720288525,0.0025324075094927405,낮음
0.5,125.83198711,서울특별시 서대문구 북가좌동 331-14   빌라 지하호,2025,62.915993555,0.003973552444680932,낮음
0.5,154.80825836,서울특별시 서대문구 북가좌동 342-11 ㅇㅇ연립 지하호,2025,77.40412918,0.003229801854867919,낮음
